City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,bakchar,57.0186,82.0711,-13.29,96,100,1.94,RU,1674437178
320,saldanha,-33.0117,17.9442,17.03,91,0,5.52,ZA,1674437178
321,hobyo,5.3505,48.5268,24.48,77,19,8.92,SO,1674437179
322,zhangjiakou,40.81,114.8794,-17.41,52,72,6.57,CN,1674437179
323,cherskiy,68.75,161.3,-35.62,95,100,1.46,RU,1674437179
324,shakawe,-18.3667,21.85,19.05,91,68,0.88,BW,1674437180
325,dwarka,22.2394,68.9678,17.81,47,0,7.79,IN,1674437124
326,les cayes,18.2,-73.75,23.07,77,69,2.38,HT,1674437181
327,touros,-5.1989,-35.4608,26.57,79,9,5.19,BR,1674437181
328,raudeberg,61.9875,5.1352,4.37,71,100,13.22,NO,1674437181
329,kendari,-3.945,122.4989,28.15,73,100,1.7,ID,1674437182
330,megion,61.0296,76.1136,-4.99,95,98,4.07,RU,1674437182
331,birin,26.8865,88.0718,6.0,64,0,2.15,NP,1674437183
332,rocky mountain house,52.3668,-114.9188,-2.94,54,4,3.09,CA,1674437183
333,bonthe,7.5264,-12.505,24.42,78,90,2.81,SL,1674437184
334,puerto narino,-3.7703,-70.3831,22.73,98,100,1.02,CO,1674437184
335,bilibino,68.0546,166.4372,-28.68,88,96,1.71,RU,1674437184
336,saint-augustin,51.226,-58.6502,-9.0,87,100,3.18,CA,1674437185
337,kutum,14.2,24.6667,14.52,17,0,2.53,SD,1674437185
338,douglas,41.3,-96.167,-6.25,93,100,2.06,US,1674437186
339,elliot lake,46.3834,-82.6331,-8.59,97,89,1.55,CA,1674437186
340,virginia beach,36.8529,-75.978,14.46,97,100,4.12,US,1674437187
341,itaituba,-4.2761,-55.9836,22.88,98,100,0.71,BR,1674437187
342,sistranda,63.7256,8.834,4.98,56,100,5.51,NO,1674437188
343,andrews,32.3187,-102.5457,7.93,36,0,2.57,US,1674437189
344,pastavy,55.1168,26.8326,-8.91,99,76,1.61,BY,1674437189
345,naron,43.5167,-8.1528,6.13,77,41,2.54,ES,1674437189
346,seydi,39.4816,62.9137,-4.37,76,52,2.56,TM,1674437190
347,beaverlodge,55.2166,-119.4361,-2.36,89,86,2.5,CA,1674437190
348,omboue,-1.5746,9.2618,25.57,85,100,1.47,GA,1674437191
349,matay,28.419,30.7792,11.69,65,48,4.01,EG,1674437191
350,roald,62.5833,6.1333,7.08,61,100,8.23,NO,1674437191
351,mana,5.6592,-53.7767,24.5,86,100,5.43,GF,1674437192
352,marienburg,54.0359,19.0266,2.8,88,9,2.73,PL,1674437192
353,nishihara,26.1842,127.7558,20.6,89,100,2.06,JP,1674437193
354,marrakesh,31.6315,-8.0083,10.04,76,0,1.54,MA,1674437193
355,evensk,61.95,159.2333,-15.58,89,100,12.02,RU,1674437193
356,narsaq,60.9167,-46.05,-16.88,68,2,3.23,GL,1674437195
357,los alamos,35.8881,-106.307,-1.25,66,20,3.09,US,1674437195
358,puerto varas,-41.3195,-72.9854,16.12,94,0,1.54,CL,1674437196
359,high level,58.5169,-117.136,-10.94,100,20,1.03,CA,1674437196
360,kangaatsiaq,68.3065,-53.4641,-12.35,93,100,4.33,GL,1674437196
361,roma,43.2128,-75.4557,0.6,93,100,3.09,US,1674437197
